1,07-Falta de tapa
3,09-Cerradura o tapa rota
4,10-Doble numeración
5,11-Vidrio interior sucio o roto
6,12-Cortado por falta de pago
7,13-Puente excitación fundido
8,14-Bornera sulfatada
9,15-Puente excitación manipulado
10,16-Puente excitación faltante
11,17-Disco frenado intencionalm.
12,18-Medidor parado
13,19-Medidor inclinado
14,20-Medidor arranca y se para
15,21-Medidor en corto
16,22-Medidor acostado
17,23-Medidor desc. (serv. susp.)
18,24-Conex.directa - Trif. - Monof.
19,25-Giro invertido
20,26-Neut.cort. habit/cruceta/caño
21,27-Llave inversora
22,28-Medidor obsoleto
23,29-Med. trif. no reg. 1 o 2 fases
24,30-Directo con medidor
25,31-Bornera quemada
26,32-Falta tornillo pte.excitación
27,33-Medidor no integra
